RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2751.202780808014,2766.8364037113083,2781.532754958161,2797.077106776685,2805.361696758119,2811.89569582343,2815.630204569955,2822.908087828499,2832.9484050907254,2843.042669577534,2849.050991869656,2853.6241548551625,2856.140455279913,2859.1908019332377,2859.7968191944847,2858.0607128820016,2858.1322614332876,2859.0804738284273,2866.01497968691,2870.435661619141,2876.1449782321138,2881.3698705292954,2889.4411058543574,2891.682430431188,2892.536290497146,2890.467387320006,2892.300847289518,2894.321656375598,2899.380141621794,2903.5101108982512,2906.8221846357756,2907.353053593636,2904.5760533640487,2899.8259891593466,2896.94486755888,2899.8267527202534,2907.83215575488,2914.8259766098436,2922.1048689550357,2929.808104947476,2935.5171145094287,2940.5485649088773,2944.737175796655,2951.82116353426,2960.0204243569747,2965.6062287380555,2973.998978985801,2980.7821690532037,2988.9286233883827,2994.432870263919,3000.581578868529,3007.3180902032855,3014.5658898179104,3023.262504862217,3032.5576064169572,3041.9488882004785,3052.3827999245923,3066.4915877812036,3077.8007406527154,3089.4421881610706,3098.5941998387893,3111.6931964201867,3102.5479277080017,,,,,,2779.226994218008,2736.3058257594334,2712.3433563883395,2705.2575981214645,2703.184781843493,2709.300020224526,2723.761491985463,2752.096234364427,2794.744072705421,2850.6339034621856,2917.5261733986304,2993.0692518799524,3070.549445755293,3136.258760549209,3201.2443010871793,3250.007838260119,3292.848422386049,3323.551184060614,3354.4586037264953,3385.4978931151345,3421.2206209516476,3459.021389953239,3489.6097385479193,3516.520799786733,3535.0172472603767,3547.3522484720866,3551.603857261786,3559.949182687707,3572.0206437097922,3581.9132484893535,3587.9860045675987,3598.548153424333,3610.203550044194,3623.0586959801844,3620.8203625532424,3620.282328998459,3625.865566704912,3638.707755999294,3654.2921643132295,3671.3076991836247,3687.0855629082457,3708.125217130411,3729.659782588438,3744.4057209311677,3752.694327316395,3756.16088915149
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1884.6565050215518,1894.9795761547753,1906.1566152378969,1916.946252155171,1931.959414633867,1943.0636911928111,1956.240497666649,1967.2683889322986,1986.907518176907,2001.0171393271385,2014.243695907373,2024.944730519052,2038.07719161086,2054.162451352141,2065.9622548527104,2072.149841123391,2083.6327900839888,2098.7993848470924,2111.8183536665338,2113.829823107685,2116.732726612319,2126.1861752500195,2136.0105826295116,2146.356547774482,2159.467870723129,2170.4011220965967,2189.1185694222836,2200.6291373091226,2211.77813100468,2217.224121244765,2225.960482376374,2236.8262457822148,2243.9490130729664,2253.9211294548913,2266.18809545989,2278.860593372527,2289.0353976623655,2299.6357449539532,2303.1850089069135,2310.633026472715,2314.141694834761,2326.184125164635,2335.9651480069,2349.467262080106,2360.3469045423003,2368.721758304307,2376.9792105989063,2385.1569225646917,2392.455462804659,2394.4883891899276,2402.2487894657424,2411.588759132751,2422.5786891764637,2428.6956324423127,2434.8804244960397,2439.083684849501,2446.2896254491366,2452.3559140143657,2456.9375230112855,2461.013377142296,2466.0438895202565,2474.916653234272,2465.347951881057,2455.921794700431,2438.485662459518,2423.3343108051413,2410.8923674657854,2397.4589682477367,2385.2557634066325,2379.3123916378327,2379.493918767322,2379.62667060815,2383.4199540515256,2385.6574447219873,2394.68121967023,2404.4202543813844,2423.0686387343435,2450.299610759667,2485.2167704565554,2526.705742997444,2563.083993847945,2594.3893617756953,2620.6023001734197,2648.7201870301437,2673.015097145226,2694.9301292108753,2710.500350592341,2732.8881457773696,2756.344061314212,2775.3403619181686,2790.349206713207,2797.123994889401,2806.326025892276,2809.9427392571065,2818.7015682244505,2823.6379706333823,2825.0756057896056,2828.9454902550774,2835.256198415375,2843.0275766667087,2840.1415434501005,2836.04161483019,2831.573854512867,2830.2715869697045,2829.5502371756816,2834.1966641534464,2835.965712574055,2839.28052282765,2845.88641476634,2851.5068705360495,2856.7325545971894,2857.097623187655,2862.9748887108176,2869.8243019914876
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1251.1556085451855,1254.5575565531633,1258.1024567038173,1259.022268711598,1260.1048473258588,1262.7148538635688,1265.2488311158065,1269.3777863312364,1269.178571413135,1271.27767814214,1273.0283618953797,1275.037470257951,1277.426092285003,1276.5618972870107,1280.2067134474419,1279.7890129452007,1277.7066078391097,1275.337965096654,1276.9522422822604,1279.4749078495515,1278.6516525710692,1276.8174204003426,1272.9626640950833,1271.4290130811517,1272.6807979087457,1279.219730517096,1285.4412164377202,1284.8096520621352,1287.65400955845,1286.2835587044658,1288.0277665015478,1285.8789827488315,1296.3501352107862,1307.5087868265448,1321.857141329618,1331.2295448382815,1334.9676038736623,1339.7025123493058,1336.658774898276,1341.6678545033433,1339.775612979287,1343.960910461077,1343.9494552583665,1345.8026188999354,1345.4580908061102,1348.3929272110977,1351.0339012313498,1351.0176345964057,1351.4737391063766,1347.1176143840355,1351.6780189247265,1354.313342210725,1360.769596997575,1364.5510229594997,1369.1761382629932,1374.0101810132248,1375.0858213171603,1373.6493640345927,1371.5482651407206,1373.7251213726584,1377.9172339832392,1384.4636733261157,1392.3644517834282,1386.9303416441849,1375.7703957830072,1361.8349239467168,1359.6194239248894,1359.3165788171427,1361.552450388984,1365.38133621899,1369.482066326381,1371.649929261298,1374.1144034307702,1374.665287050405,1380.0937398162075,1391.7218484888822,1409.5929296117008,1433.15821038961,1453.8322572683348,1475.007830937985,1491.9756974395173,1503.9143729254415,1513.6328137355904,1519.051038801162,1527.3155768937568,1536.7156794995103,1545.5951200099053,1554.3696242423393,1561.2007207207205,1569.3236615777225,1574.4323864758662,1579.1941924962784,1582.331832210321,1583.5737632653033,1586.2615659664632,1589.8585712750692,1597.6679864282612,1604.4490126710887,1613.2424314787804,1615.2698002284762,1617.7060081800805,1617.1961244561505,1617.4207187493864,1617.211325379168,1619.7516745806709,1625.7127319691738,1631.250181077602,1638.022645598103,1639.5644779032534,1641.112843233228,1640.0180647585714,1642.5920887015916,1644.3095578228097,1646.1909287410815
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1595.1587037390643,1595.8634283079152,1600.8059088562302,1605.755109158138,1612.1864694216638,1615.0208522001928,1618.4108409999487,1623.2771044661329,1629.0301481553574,1635.8543731562547,1641.0275729065697,1645.5365503826804,1650.5085039423175,1653.0214708865772,1656.0326762136847,1655.9669371922428,1657.368721757811,1661.7356943064165,1668.3526392628287,1676.9435950692744,1680.0641473133455,1682.3974006154663,1680.3824004290252,1679.3596810046115,1681.0841630989203,1689.358513743293,1699.4828538675922,1705.5645274647197,1709.5174580990952,1709.278412004874,1709.9196505944687,1707.0769215687242,1711.1945289752239,1713.0961264034395,1718.4974611001192,1722.0132832040247,1725.197586255146,1728.8889700312973,1729.6173261089791,1733.0944544463032,1736.0852099235603,1741.7655719999352,1745.5063176093556,1746.7408596194696,1745.3439638464454,1746.7057244917603,1751.151297251615,1760.4754811737914,1766.1500217573375,1769.2913007781976,1772.174311021415,1775.6053788440263,1780.185676885466,1784.226668627988,1788.9804330241589,1796.9777987656985,1804.755569513549,1811.6760946357795,1815.4667758564358,1816.269695928327,1819.6098916555663,1823.5084942106894,1828.1335111499382,1815.4450527843874,1800.9536009896474,1787.575168758022,1780.44072921215,1772.0355058976386,1761.9405153135526,1746.3816161955624,1733.5910474949353,1727.9604881834828,1726.106072731614,1732.8472342030714,1742.1437774350443,1762.8627372209862,1783.021549139562,1804.0391883977104,1820.038445416378,1836.3980772958605,1852.706640953181,1871.0441919491345,1887.462819928123,1903.1270858704293,1916.5455641949486,1926.8120936921746,1937.912510835503,1949.369114510076,1963.1001557314771,1974.5874844210985,1987.7881091405197,1999.3682446177752,2013.472445844427,2029.1311719908865,2044.6705100574484,2054.3778474051405,2062.692723565178,2069.013626765324,2078.2986020531876,2081.9972991230775,2091.999493903744,2101.019278556396,2107.3709699102164,2115.401661986318,2122.0283305436847,2127.7230896476026,2134.114673821762,2144.0622143268265,2155.2758079920877,2167.6870153319546,2176.743197137008,2187.6925532097193,2192.7383814948766,2199.545885870963
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1018.5421360376171,1021.4430951376502,1025.3926810801431,1028.6955067984013,1033.7631940497836,1037.5716230226137,1040.6136100241065,1040.1533815221678,1043.3433012195765,1050.4553818711386,1055.986778156197,1061.026773187201,1062.0105676667915,1064.5463962178892,1067.0361222543659,1070.8557024134407,1073.3499719715671,1074.268164763371,1076.587509132786,1081.879962386248,1087.1932742838105,1089.3282333625134,1092.4227505697813,1094.3356540912143,1100.1493800901612,1103.9917549559175,1107.91322110649,1109.9037015479764,1111.8069928624313,1116.7053219823772,1119.1620819975292,1118.25232840824,1118.0650333860606,1118.613362685433,1121.7900050468227,1125.1788009612212,1127.8034913481374,1130.244871801175,1132.3487695721963,1134.752744014358,1138.4129626999302,1141.1232151372926,1145.9798470155297,1149.0766918260147,1151.6065868242476,1154.946662824632,1161.1181854611787,1164.2966337678279,1167.5656718031173,1168.7697584199634,1172.1084803772915,1175.9263595913196,1179.0386658327895,1181.7809829620517,1183.7507569345362,1188.1993785189945,1192.570099885753,1196.4850516167974,1196.752772130366,1199.4967724244736,1201.8509788507602,1206.2343796125956,1208.2108254179975,1206.7281090552513,1202.3933805627335,1199.9215432986957,1200.326351577678,1200.5010645306825,1203.187541951414,1207.7008893843356,1215.7538046293578,1223.2204093700607,1228.3821186847504,1232.2496018400705,1237.5296172715389,1250.009054310942,1265.1420381755534,1282.9406690849114,1302.3045115715527,1325.956516128499,1347.1974701267486,1364.861372808135,1377.8290566329342,1388.8742136771468,1397.0980776445126,1407.301250749125,1416.409460300182,1425.756781251734,1435.9518690144005,1445.1585497083927,1453.6224855064625,1453.5935468607324,1453.2493224577279,1450.3762967109485,1451.1163015544128,1452.7373584522757,1460.5446496731488,1463.9257012793273,1468.4815518277853,1465.6277784415577,1465.2037416265964,1460.8384041936633,1456.1780091729604,1455.3360979351855,1455.1515050196265,1457.875466382861,1459.075154620104,1459.9116095383176,1457.2690617068743,1456.476377303387,1454.5144089930873,1455.9063969934082,1454.1254360171952,1454.7135964848683
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1290.1415426985304,1293.5359931233088,1304.0941702903851,1305.8348574729,1310.9647290669907,1311.426846584444,1317.4707291796203,1319.567567141923,1321.3825489112087,1326.910908555215,1326.9482390603973,1330.4841384596443,1326.904240878404,1334.6747995733808,1337.8970068860792,1344.1260386278107,1347.2214063949314,1352.8156317120468,1356.8465301298345,1360.5691767108808,1363.2774668244156,1364.3360917379762,1371.7060303095502,1375.7227380790066,1381.289845764433,1382.2088276299837,1385.5184406804178,1389.457665735424,1390.6399773678213,1391.4857726612158,1393.8709328600348,1397.5893142333857,1402.227614951247,1405.6988295618332,1407.830349965698,1414.4281114236421,1417.9979852304837,1422.671562574383,1425.2577268888554,1430.2608888298705,1436.7368344312788,1438.9525851764604,1439.2980597184278,1443.0897552919625,1448.5255498943227,1457.255616459122,1465.078677469483,1466.3908303444093,1471.3441730883592,1473.215493214735,1478.7914590853024,1481.8477239061358,1485.7092932206858,1492.704974908628,1500.5421756944913,1505.2389902204784,1508.4222286894249,1509.8293040873327,1511.5217094239908,1516.6419154098935,1520.473744094128,1526.7986231801654,1528.2730269012354,1526.848254256372,1521.6518314130476,1518.8278735273725,1520.523304307749,1520.0702436808704,1521.429473590988,1520.3133316779938,1522.6409388469947,1523.5857137234343,1527.8698976804517,1531.4144519233914,1535.814849933307,1545.4014627744612,1560.636786152307,1574.3523901935862,1588.1673258112894,1603.2422730871333,1610.8735583637965,1624.1442510696477,1636.0514556309747,1658.4965795084802,1668.2257999795777,1674.6430718725474,1679.3871507423646,1689.357238687125,1700.0990239456962,1710.8150731270537,1716.240419331731,1720.4548058423195,1724.2728393784628,1723.8199114073893,1725.2337193944218,1724.8369937583313,1731.4671007872614,1737.2609442377002,1742.403385809218,1747.2746164358007,1749.8518055033026,1751.3856309396404,1754.7835488234587,1758.8760735127973,1766.545542513727,1775.0668012055476,1781.9979050398772,1785.052870997564,1788.2118110588901,1793.510400857779,1799.9807240939058,1802.90043827208,1806.0262708266862,1810.2144065753575
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,880.1496246905793,889.572250851554,893.1461887442531,903.4735876249288,904.6648843636392,909.2550680357298,909.6929703044812,915.6776612033993,922.7502890699478,927.9903784292818,934.1102681326852,938.1184777309209,945.7083215818485,947.2672518204331,951.9222789622181,953.0261927378701,959.6782605943235,965.1985274977785,970.312282170319,973.9297531872738,977.1226598223677,980.9370990882392,985.8128965129828,990.905071355198,996.4073380272995,1002.9750964613024,1010.8495781217806,1018.1572209352294,1026.1034421792558,1030.5287735728743,1035.9479939952164,1039.1504565945277,1043.5851073966185,1050.7553162381705,1055.7908852465316,1060.4805577375064,1063.6822487219056,1068.8790529213175,1077.000696220677,1083.163728802564,1091.0057668071252,1096.634287840664,1106.0656004090874,1115.094650304471,1126.3532591823907,1135.5452361369828,1143.6796070343603,1150.7229248504987,1156.7410109782707,1165.6533937027402,1170.9174908585069,1179.0043039308173,1184.7975628843558,1194.760835656309,1201.6501522606288,1210.5368198097374,1217.3127659946306,1224.5257065723479,1233.756863473734,1244.420703665459,1256.8534761532783,1266.205328501255,1270.653461716115,1270.8755221550907,1268.1124620892176,1267.8007479291534,1272.2640261855513,1282.2167838052153,1293.4861144044762,1308.3186479789274,1320.1238551244776,1334.9801521758259,1349.8059833455327,1365.327787984808,1384.8324288177967,1412.192938144558,1449.718050139799,1487.2654111235909,1529.0130883415347,1568.1129228575126,1603.7701384300158,1627.6274535249954,1646.3752451811795,1662.6073913284251,1679.996909029142,1693.2951195017788,1704.2878212250953,1710.9238629980182,1715.2863210489443,1719.831459449055,1721.9113861968672,1720.579403228414,1714.9841309460078,1713.110828534945,1717.973889028403,1724.1626932915833,1723.4880206831208,1721.5319789058778,1723.7994834590684,1726.514455809125,1726.6008987650291,1724.3804385294477,1719.67563443241,1717.3106368122296,1719.2960053687057,1722.9231126798365,1723.8744719349038,1723.426786152339,1726.728343270453,1732.0466845500882,1733.683833188074,1734.7347563319092,1736.0816219224803,1738.7343974759217
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1006.0131785629612,1010.2263029545285,1013.4353574597372,1017.3248646739752,1021.6361757924778,1024.9221519233276,1029.5628018588538,1033.3321915800911,1039.9277680492469,1043.2739406580024,1047.268265956325,1049.7611530640092,1053.6495429551574,1055.3896720407101,1057.1841322052949,1059.3660232748107,1063.7759398584392,1070.351647959881,1073.9661834684428,1077.9022377392532,1080.1764877346932,1086.480794797677,1090.8344331410506,1095.2776878200148,1100.7702613785268,1108.1774831385965,1116.098634069296,1120.9585267721914,1124.6220903777369,1129.504886325962,1135.3495292751556,1141.9284760168005,1147.7765556182887,1153.3646510815654,1160.1266343456352,1168.3250704879183,1174.8373003651368,1181.829792651417,1187.166097203526,1196.9539883071266,1203.7409446714992,1210.8740421554533,1217.8964004867546,1224.5041855776005,1232.938755514716,1238.6820581950287,1245.9299198360118,1252.791246360835,1260.8356800124286,1264.7374040430952,1271.4165970315523,1276.0297708696728,1283.1482779196372,1288.850439887903,1294.6927128820323,1300.3450846729038,1305.1201117081714,1311.2572166875007,1315.8775471178712,1319.934228422566,1323.515321150307,1329.5974020050833,1334.999536643996,1333.7255861517529,1326.054040019497,1321.3858397822448,1326.4066790272327,1336.0230629372213,1350.7596607097544,1366.6030455164534,1383.021620342365,1398.8866368602787,1415.1981270977358,1431.1214948870334,1447.7360069756378,1464.9424174026676,1499.4060603869582,1542.0711520903808,1590.9910452013337,1637.1196136181304,1675.0052177747714,1706.186251004274,1723.6912911364013,1737.1958486310498,1749.0937836747898,1758.6082225951525,1764.249490927373,1776.2119937400516,1780.5302390794852,1785.6453902740072,1783.5205666696959,1773.381515138936,1762.7224424198314,1744.488896352065,1738.274241169872,1734.623673959354,1740.7754758197211,1748.696384737153,1755.159505044168,1757.2495166761205,1755.7980265241133,1752.0372951797028,1745.8486949882501,1745.9175831658881,1749.3388174436232,1761.1405766503458,1770.0898730486128,1778.493814366875,1779.3783325364616,1779.2730157375236,1781.4530398912034,1783.703692122988,1788.289783311384,1792.3363803948116
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1785.3076064934621,1796.1363681099294,1801.1803020288312,1802.3414938586761,1811.4178643442876,1815.5740198870226,1830.1856476632395,1843.0232905348762,1854.9363817035985,1865.1678654469592,1873.8577882190405,1886.3544058040245,1895.961118451743,1899.4508082392374,1906.2958530825622,1910.459266884271,1916.6197553907336,1929.5532593157477,1937.6849501544812,1946.4267684559918,1951.6015495150311,1963.9633559474548,1974.434492647936,1982.6512919236131,1987.1492773744294,2002.323762629915,2017.4052662946763,2035.8903142291142,2045.2101231839144,2054.9770734973335,2064.66940480104,2071.5437534982366,2078.689419388361,2082.5605367548756,2093.155056239636,2098.1120906304736,2111.293872579576,2121.992031004415,2134.4799647110076,2141.602015736906,2152.267891292595,2158.636993071275,2166.5673761398925,2173.7763467584764,2185.610752655153,2195.4189731350834,2198.047631926407,2206.068823774748,2211.398981402839,2219.010461494655,2220.7933711872374,2225.8580968227875,2232.1196600486323,2240.156890341402,2247.5877543930583,2256.7671506010474,2262.8323780392943,2270.5326798132614,2280.7022399889115,2289.851303943011,2297.7767598420924,2303.1066238902163,2299.2455045849065,2288.8385273410554,2276.268290305947,2268.8732610494176,2269.1055954404437,2268.042671718501,2272.421071928143,2289.006538805222,2312.7757722206165,2330.586273663222,2349.468544178574,2362.5112386477053,2383.972539964762,2408.8972864358175,2443.7195253156256,2476.52644176499,2521.4174631544092,2570.384662520496,2630.8826828575275,2676.6456840076394,2719.2991598233416,2750.307556023529,2777.7224104203515,2807.4079120401407,2838.069625888885,2877.3277584871985,2908.8611634121876,2943.188646829082,2963.0042596692115,2989.735063679036,3000.925798931471,3009.268612251259,3009.3044855285925,3016.790969020072,3031.6879021357595,3043.2994949778276,3056.942559573067,3063.6018966566016,3077.805636414708,3086.8384219451436,3092.407060489142,3089.5233455473212,3090.1568213462074,3096.9515055858014,3108.477104237316,3120.1082210266327,3125.625294329199,3131.846283546256,3131.9112456059133,3130.3233756604395,3122.536197119818,3115.7646782659267
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1130.584076860715,1136.3147576778563,1143.959808238548,1152.5012466546966,1162.4791122360064,1168.0431699241694,1176.514767893863,1180.584445368359,1188.5718122369071,1193.6811104123924,1204.5999111197523,1212.1167705256842,1217.308930168297,1222.2580613070256,1222.8703116796275,1231.0264170868854,1231.7708787441568,1239.4550859279423,1241.302608948978,1248.6286934276488,1254.903684442705,1265.3984546213085,1270.9871944152367,1278.8901375567805,1284.551270783878,1288.055661003553,1299.8604466387806,1306.02441910082,1316.2939032283782,1312.9665320819427,1315.0058025957749,1315.9168969900636,1322.0337101209589,1322.1492299675795,1332.5786047453955,1336.5388785615403,1343.2034032063143,1349.841594368272,1350.0066917808367,1350.8655930090304,1348.063732384149,1356.295356577807,1361.7190130100068,1366.2532021712352,1363.4667395174379,1369.6454552991283,1372.0859186776004,1381.4953447282355,1385.6420006793674,1387.8283416695522,1393.1029644900616,1398.703370573109,1406.3099779822933,1410.3034546098243,1414.5745755472146,1418.6006270674657,1425.4120546674947,1427.1168856888605,1427.1153545585503,1424.2178636803062,1424.2694768002134,1425.9097808191123,1435.7356858858789,1430.219338117102,1422.4795275224046,1410.4293470651944,1406.172556785529,1405.5322984636903,1409.9841685677866,1416.776915374447,1423.5995157717318,1433.0871154460444,1437.1407428268092,1444.4117573105368,1452.4399901454249,1470.300867614421,1492.1066464683036,1515.6403080683729,1543.4792366089812,1568.993189382121,1595.6093380719449,1617.1089388975256,1639.218814043554,1658.8000795503037,1675.4284043795706,1692.0176982490382,1701.3620500064196,1719.614061973623,1735.1796641514552,1761.3339262072068,1773.6697189273577,1779.605203855218,1777.3198667577483,1770.9573194079694,1770.767949644177,1768.0849704609827,1772.4995932096322,1773.8235890920303,1782.11034806717,1785.3628673682156,1783.7548164085806,1772.2561942802488,1766.6259703563906,1765.5609751233203,1768.0592690923213,1775.0801982277317,1776.2806393455598,1779.1034673049924,1777.8875802140637,1777.0614353056744,1773.3516541530596,1766.2163759630666,1762.4388039142425,1760.0127898641406
